Label,Name,Network,Program,"Air Date","Air Time",Duration,"Archive ID",URL,"Model ID"
trump,"Donald Trump",BBCNEWS,"100 Days",2017-07-13,"10:00:31 AM PST",7,BBCNEWS_20170713_180000_100_Days,https://archive.org/details/BBCNEWS_20170713_180000_100_Days/start/31/end/38,
trump,"Donald Trump",BBCNEWS,"100 Days",2017-07-13,"10:01:17 AM PST",2,BBCNEWS_20170713_180000_100_Days,https://archive.org/details/BBCNEWS_20170713_180000_100_Days/start/77/end/79,
trump,"Donald Trump",BBCNEWS,"100 Days",2017-07-13,"10:02:30 AM PST",15,BBCNEWS_20170713_180000_100_Days,https://archive.org/details/BBCNEWS_20170713_180000_100_Days/start/150/end/165,
trump,"Donald Trump",BBCNEWS,"100 Days",2017-07-13,"10:02:53 AM PST",31,BBCNEWS_20170713_180000_100_Days,https://archive.org/details/BBCNEWS_20170713_180000_100_Days/start/173/end/204,
trump,"Donald Trump",BBCNEWS,"100 Days",2017-07-13,"10:30:22 AM PST",7,BBCNEWS_20170713_180000_100_Days,https://archive.org/details/BBCNEWS_20170713_180000_100_Days/start/1822/end/1829,
trump,"Donald Trump",BBCNEWS,"100 Days",2017-07-13,"10:35:20 AM PST",17,BBCNEWS_20170713_180000_100_Days,https://archive.org/details/BBCNEWS_20170713_180000_100_Days/start/2120/end/2137,
trump,"Donald Trump",BBCNEWS,"100 Days",2017-07-13,"10:35:49 AM PST",4,BBCNEWS_20170713_180000_100_Days,https://archive.org/details/BBCNEWS_20170713_180000_100_Days/start/2149/end/2153,
trump,"Donald Trump",BBCNEWS,"100 Days",2017-07-13,"10:36:00 AM PST",1,BBCNEWS_20170713_180000_100_Days,https://archive.org/details/BBCNEWS_20170713_180000_100_Days/start/2160/end/2161,
trump,"Donald Trump",BBCNEWS,"100 Days",2017-07-13,"10:36:16 AM PST",1,BBCNEWS_20170713_180000_100_Days,https://archive.org/details/BBCNEWS_20170713_180000_100_Days/start/2176/end/2177,
trump,"Donald Trump",BBCNEWS,"100 Days",2017-07-13,"10:36:34 AM PST",5,BBCNEWS_20170713_180000_100_Days,https://archive.org/details/BBCNEWS_20170713_180000_100_Days/start/2194/end/2199,
trump,"Donald Trump",BBCNEWS,"100 Days",2017-07-13,"10:37:13 AM PST",1,BBCNEWS_20170713_180000_100_Days,https://archive.org/details/BBCNEWS_20170713_180000_100_Days/start/2233/end/2234,
