2019-11-30 00:07:00	CNNW	43	CNNW_20191130_000000_Erin_Burnett_OutFront/start/420	HOUSE DEMS GIVE TRUMP ONE WEEK TO SAY |F HIS. LAWYERS WILL TAKE PART IN IMPEACHMENT HEARINGS\nWH FACING TWO DEADLINES ON IMPEACHMENT HEARINGS;. TRUMP MUST TELL DEMS IF HIS LAWYERS WILL PARTICIPATE
2019-11-30 00:07:00	FOXNEWSW	20	FOXNEWSW_20191130_000000_The_Story_With_Martha_MacCallum/start/420	Fareed Zakaria. Thursday\nTHE POLITICS OF IMPEACHMENT\nVICTOR DAVIS HANSON: DEMOCRATS TRYING TO. IMPEACH TRUMP OVER \"THOUGHT CRIMES\
2019-11-30 00:07:00	MSNBCW	61	MSNBCW_20191130_000000_Hardball_With_Chris_Matthews/start/420	PAMBMQA\ufb02-Z\u2014 |
2019-11-30 00:08:00	BBCNEWS	12	BBCNEWS_20191130_000000_BBC_News/start/480	London Bridge attack. . Police con\ufb01rm two people were killed, three seriously injured\nLondon Bridge attack. Police: Suspect shot dead on London bridge\nLondon Bridge attack. UK PM Johnson: This is an appalling...
2019-11-30 00:08:00	CNNW	43	CNNW_20191130_000000_Erin_Burnett_OutFront/start/480	WHITE HOUSE FACES NEW DEADLINE ON IMPEACHMENT. . Rep. Dan Kildee (D) Chief Deputy Whip\nHOUSE DEMS GIVE TRUMP ONE WEEK TO SAY |F HIS. LAWYERS WILL TAKE PART IN IMPEACHMENT HEARINGS
2019-11-30 00:08:00	MSNBCW	62	MSNBCW_20191130_000000_Hardball_With_Chris_Matthews/start/480	\ufb01\ufb01eampm\ufb01\ufb02\ufb02 |
2019-11-30 00:09:00	CNNW	42	CNNW_20191130_000000_Erin_Burnett_OutFront/start/540	HOUSE DEMS GIVE TRUMP ONE WEEK TO SAY |F HIS. LAWYERS WILL TAKE PART IN IMPEACHMENT HEARINGS\nWHITE HOUSE FACES NEW DEADLINE ON IMPEACHMENT. . Rep. Dan Kildee (D) Chief Deputy Whip
2019-11-30 00:09:00	MSNBCW	62	MSNBCW_20191130_000000_Hardball_With_Chris_Matthews/start/540	PAMSBMQALB |
2019-11-30 00:10:00	BBCNEWS	8	BBCNEWS_20191130_000000_BBC_News/start/600	Businessman\nLondon Bridge attack. . Attacker convicted of an 'Islamist 'errorism-related offence'
2019-11-30 00:11:00	CNNW	10	CNNW_20191130_000000_Erin_Burnett_OutFront/start/660	IBRANCE may cause serious side effects.
2019-11-30 00:12:00	BBCNEWS	10	BBCNEWS_20191130_000000_BBC_News/start/720	E\ufb02l NEWS
2019-11-30 00:12:00	CNNW	4	CNNW_20191130_000000_Erin_Burnett_OutFront/start/720	our doctor about Inwedic 5. 'you have ahd all medicines y
2019-11-30 00:13:00	BBCNEWS	18	BBCNEWS_20191130_000000_BBC_News/start/780	Prime Minister of Malta\nSuriname president sentenced. Court convicts Desi Bouterse of murder for 1982 executions
2019-11-30 00:14:00	BBCNEWS	17	BBCNEWS_20191130_000000_BBC_News/start/840	UK election debate. . Party representatives clash over Brexit and the economy\nIraq protests. PM announces resignation as protests continue\nSuriname president sentenced. Court convicts Desi Bouterse of murder for...
2019-11-30 00:14:00	FOXNEWSW	62	FOXNEWSW_20191130_000000_The_Story_With_Martha_MacCallum/start/840	AT LEAST TWO DEAD AFTER. LONDON BRIDGE \"TERRORIST INCIDENT\
2019-11-30 00:15:00	BBCNEWS	11	BBCNEWS_20191130_000000_BBC_News/start/900	The Hague attack. Dutch police: A' least three people injured in stabbing attack\nEEII NEWS\nThe Hague attack. . Police are searching for a man who ahey believe is behind attack
2019-11-30 00:15:00	CNNW	45	CNNW_20191130_000000_Erin_Burnett_OutFront/start/900	SOURCES: UKRAINE OFFICIALS WANT TO IMPROVE STANDING. WITH TRUMP, COULD STILL ANNOUNCE NEW INVESTIGATIONS\nAdvice I Retirement | Investments I Insurance
2019-11-30 00:16:00	BBCNEWS	8	BBCNEWS_20191130_000000_BBC_News/start/960	The Hague attack. . Police are searching for a man who they believe is behind attack\nEllzabetn l manuscrlpt
2019-11-30 00:16:00	FOXNEWSW	15	FOXNEWSW_20191130_000000_The_Story_With_Martha_MacCallum/start/960	SEVERAL WOUNDED IN NETHERLANDS STABBING \u201d'Set. . HOURS AFTER DEADLY TERROR ATTACK IN LONDON. . 33w.
2019-11-30 00:16:00	MSNBCW	9	MSNBCW_20191130_000000_Hardball_With_Chris_Matthews/start/960	WM is for people with MEdit\nIncluded with prime
2019-11-30 00:17:00	BBCNEWS	9	BBCNEWS_20191130_000000_BBC_News/start/1020	LODGOII bfl\ufb02ge attaCK
2019-11-30 00:17:00	FOXNEWSW	19	FOXNEWSW_20191130_000000_The_Story_With_Martha_MacCallum/start/1020	II the. . ' ' story 'Q.. DEADLY TERROR ATTACK STRIKES LONDON n m.\n\u00a7tory @-. DEADLY TERROR A1TACK STRIKES LONDON l x
2019-11-30 00:17:00	MSNBCW	30	MSNBCW_20191130_000000_Hardball_With_Chris_Matthews/start/1020	WK.) \"\"\u2019 \"_ __ '\u2014. TOLL~FREE
2019-11-30 00:18:00	BBCNEWS	5	BBCNEWS_20191130_000000_BBC_News/start/1080	Witness
2019-11-30 00:19:00	BBCNEWS	7	BBCNEWS_20191130_000000_BBC_News/start/1140	BIZ. NEWS
